mac,time,9c:d9:17:88:77:93,9c:d9:17:86:63:97,14:1a:a3:db:32:14,zone
14:1a:a3:db:32:14,2015-12-30 17:44:20,-46,-100,-50,A,
14:1a:a3:db:32:14,2015-12-30 17:47:00,-100,-100,-44,A,
14:1a:a3:db:32:14,2015-12-30 17:56:10,-100,-100,-48,A,
14:1a:a3:ee:e0:9d,2015-12-30 17:30:00,-100,-40,-44,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:31:30,-100,-44,-50,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:34:00,-100,-40,-100,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:34:30,-100,-40,-46,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:35:00,-100,-42,-100,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:35:30,-100,-40,-100,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:36:00,-100,-42,-46,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:36:10,-100,-42,-46,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:36:20,-100,-36,-46,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:36:30,-100,-42,-48,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:36:40,-100,-42,-46,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:36:50,-100,-40,-48,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:37:00,-100,-42,-50,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:37:10,-100,-40,-50,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:37:20,-100,-40,-48,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:37:30,-100,-42,-50,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:37:40,-100,-42,-46,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:38:10,-100,-42,-46,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:38:20,-100,-40,-44,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:38:30,-100,-38,-42,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:38:40,-100,-40,-46,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:38:50,-100,-42,-46,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:39:20,-100,-38,-46,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:39:30,-100,-38,-46,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:39:40,-100,-40,-46,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:39:50,-100,-42,-46,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:40:00,-100,-42,-46,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:40:30,-100,-40,-48,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:40:40,-100,-40,-44,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:41:00,-100,-40,-46,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:41:20,-100,-42,-46,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:41:40,-100,-40,-48,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:42:00,-100,-42,-46,F,
14:1a:a3:ee:e0:9d,2015-12-30 17:42:10,-100,-44,-48,F,
